M,N,K
1188, 160, 6144
1218, 160, 6144
1996, 160, 6144
1101, 160, 6144
1142, 160, 6144
1207, 160, 6144
2084, 160, 6144
1133, 160, 6144
2005, 160, 6144
1234, 160, 6144
2010, 160, 6144
1187, 160, 6144
1130, 160, 6144
1087, 160, 6144
2080, 160, 6144
2100, 3584, 6144
2100, 6144, 3072
2100, 160, 6144
251, 37984, 6144
2835, 3584, 6144
2835, 6144, 3072
2835, 160, 6144
2054, 160, 6144
1151, 160, 6144
1117, 160, 6144
2026, 160, 6144
1107, 160, 6144
1095, 160, 6144
2028, 160, 6144
2063, 160, 6144
1190, 160, 6144
1091, 160, 6144
2021, 160, 6144
1065, 160, 6144
1172, 160, 6144
252, 37984, 6144
1116, 160, 6144
3064, 160, 6144
1118, 160, 6144
2852, 160, 6144
1134, 160, 6144
1160, 160, 6144
2099, 160, 6144
1942, 160, 6144
1221, 160, 6144
1982, 160, 6144
1930, 160, 6144
2003, 160, 6144
1181, 160, 6144
3912, 3584, 6144
3912, 6144, 3072
3912, 160, 6144
1159, 160, 6144
1981, 160, 6144
1166, 160, 6144
2044, 160, 6144
1141, 160, 6144
1153, 160, 6144
1177, 160, 6144
1184, 160, 6144
1076, 160, 6144
1985, 160, 6144
1971, 160, 6144
1103, 160, 6144
1079, 160, 6144
1235, 160, 6144
1161, 160, 6144
1182, 160, 6144
1143, 160, 6144
1955, 160, 6144
1139, 160, 6144
1111, 160, 6144
3122, 3584, 6144
3122, 6144, 3072
3122, 160, 6144
1195, 160, 6144
1123, 160, 6144
2107, 3584, 6144
2107, 6144, 3072
2107, 160, 6144
1192, 160, 6144
2045, 160, 6144
1081, 160, 6144
1191, 160, 6144
3009, 160, 6144
2106, 160, 6144
3159, 3584, 6144
3159, 6144, 3072
3159, 160, 6144
1183, 160, 6144
1145, 160, 6144
1156, 160, 6144
2069, 3584, 6144
2069, 6144, 3072
2069, 160, 6144
1164, 160, 6144
1127, 160, 6144
2938, 160, 6144
2020, 160, 6144
249, 37984, 6144
4808, 3584, 6144
4808, 6144, 3072
4808, 160, 6144
1987, 160, 6144
2102, 160, 6144
2065, 160, 6144
1962, 160, 6144
1147, 160, 6144
2042, 160, 6144
2046, 160, 6144
3763, 160, 6144
1128, 160, 6144
1104, 160, 6144
2022, 160, 6144
2188, 160, 6144
1110, 160, 6144
1209, 160, 6144
1205, 160, 6144
1108, 160, 6144
1131, 160, 6144
1196, 160, 6144
1229, 160, 6144
1152, 160, 6144
1162, 160, 6144
2168, 160, 6144
2840, 3584, 6144
2840, 6144, 3072
2840, 160, 6144
1150, 160, 6144
1175, 160, 6144
1154, 160, 6144
1140, 160, 6144
1135, 160, 6144
1124, 160, 6144
1073, 160, 6144
1914, 160, 6144
1219, 160, 6144
1198, 160, 6144
1222, 160, 6144
1088, 160, 6144
1055, 160, 6144
1121, 160, 6144
1179, 160, 6144
1167, 160, 6144
1240, 160, 6144
1070, 160, 6144
1109, 160, 6144
2169, 160, 6144
1197, 160, 6144
1174, 160, 6144
1214, 160, 6144
1155, 160, 6144
2008, 160, 6144
1243, 160, 6144
1203, 160, 6144
1246, 160, 6144
1105, 160, 6144
1202, 160, 6144
1146, 160, 6144
1149, 160, 6144
1227, 160, 6144
2144, 160, 6144
2057, 160, 6144
1186, 160, 6144
1082, 160, 6144
1231, 160, 6144
1225, 160, 6144
2079, 160, 6144
1054, 160, 6144
1213, 160, 6144
1211, 160, 6144
2017, 160, 6144
1083, 160, 6144
1069, 160, 6144
1968, 160, 6144
1074, 160, 6144
2075, 160, 6144
1169, 160, 6144
1991, 160, 6144
2040, 160, 6144
1072, 160, 6144
2113, 3584, 6144
2113, 6144, 3072
2113, 160, 6144
1090, 160, 6144
2038, 160, 6144
1126, 160, 6144
3782, 160, 6144
1228, 160, 6144
1247, 160, 6144
2101, 160, 6144
2049, 3584, 6144
2049, 6144, 3072
2049, 160, 6144
2111, 160, 6144
1171, 160, 6144
1189, 160, 6144
1241, 160, 6144
2164, 3584, 6144
2164, 6144, 3072
2164, 160, 6144
1085, 160, 6144
1089, 160, 6144
2127, 3584, 6144
2127, 6144, 3072
2127, 160, 6144
2110, 160, 6144
2220, 160, 6144
1199, 160, 6144
1249, 160, 6144
2140, 3584, 6144
2140, 6144, 3072
2140, 160, 6144
2994, 160, 6144
2023, 160, 6144
1245, 160, 6144
2105, 160, 6144
2039, 160, 6144
1100, 160, 6144
1078, 160, 6144
1176, 160, 6144
2088, 3584, 6144
2088, 6144, 3072
2088, 160, 6144
1200, 160, 6144
2061, 3584, 6144
2061, 6144, 3072
2061, 160, 6144
1086, 160, 6144
1112, 160, 6144
1119, 160, 6144
2817, 3584, 6144
2817, 6144, 3072
2817, 160, 6144
1129, 160, 6144
2935, 3584, 6144
2935, 6144, 3072
2935, 160, 6144
1924, 160, 6144
1212, 160, 6144
2108, 160, 6144
1122, 160, 6144
1113, 160, 6144
2035, 160, 6144
2870, 160, 6144
1097, 160, 6144
1232, 160, 6144
2000, 160, 6144
2078, 3584, 6144
2078, 6144, 3072
2078, 160, 6144
2158, 3584, 6144
2158, 6144, 3072
2158, 160, 6144
3065, 160, 6144
1966, 160, 6144
2027, 160, 6144
1168, 160, 6144
1194, 160, 6144
1132, 160, 6144
1137, 160, 6144
1998, 160, 6144
2064, 160, 6144
1125, 160, 6144
2149, 160, 6144
1210, 160, 6144
1208, 160, 6144
1939, 160, 6144
1180, 160, 6144
1084, 160, 6144
1075, 160, 6144
1185, 160, 6144
250, 37984, 6144
248, 37984, 6144
247, 37984, 6144
246, 37984, 6144
245, 37984, 6144
244, 37984, 6144
243, 37984, 6144
242, 37984, 6144
240, 37984, 6144
239, 37984, 6144
238, 37984, 6144
237, 37984, 6144
236, 37984, 6144
235, 37984, 6144
234, 37984, 6144
233, 37984, 6144
232, 37984, 6144
230, 37984, 6144
228, 37984, 6144
227, 37984, 6144
225, 37984, 6144
224, 37984, 6144
220, 37984, 6144
218, 37984, 6144
217, 37984, 6144
216, 37984, 6144
214, 37984, 6144
212, 37984, 6144
211, 37984, 6144
210, 37984, 6144
209, 37984, 6144
206, 37984, 6144
205, 37984, 6144
203, 37984, 6144
202, 37984, 6144
199, 37984, 6144
198, 37984, 6144
197, 37984, 6144
195, 37984, 6144
194, 37984, 6144
193, 37984, 6144
192, 37984, 6144
190, 37984, 6144
189, 37984, 6144
188, 37984, 6144
187, 37984, 6144
186, 37984, 6144
185, 37984, 6144
184, 37984, 6144
183, 37984, 6144
182, 37984, 6144
180, 37984, 6144
179, 37984, 6144
177, 37984, 6144
175, 37984, 6144
173, 37984, 6144
172, 37984, 6144
170, 37984, 6144
169, 37984, 6144
167, 37984, 6144
166, 37984, 6144
165, 37984, 6144
163, 37984, 6144
162, 37984, 6144
161, 37984, 6144
160, 37984, 6144
159, 37984, 6144
155, 37984, 6144
154, 37984, 6144
153, 37984, 6144
152, 37984, 6144
151, 37984, 6144
150, 37984, 6144
149, 37984, 6144
148, 37984, 6144
147, 37984, 6144
146, 37984, 6144
144, 37984, 6144
142, 37984, 6144
141, 37984, 6144
140, 37984, 6144
139, 37984, 6144
138, 37984, 6144
137, 37984, 6144
135, 37984, 6144
133, 37984, 6144
130, 37984, 6144
129, 37984, 6144
128, 37984, 6144
127, 37984, 6144
126, 37984, 6144
125, 37984, 6144
124, 37984, 6144
123, 37984, 6144
121, 37984, 6144
120, 37984, 6144
119, 37984, 6144
118, 37984, 6144
116, 37984, 6144
115, 37984, 6144
114, 37984, 6144
113, 37984, 6144
112, 37984, 6144
111, 37984, 6144
110, 37984, 6144
109, 37984, 6144
108, 37984, 6144
107, 37984, 6144
106, 37984, 6144
104, 37984, 6144
102, 37984, 6144
101, 37984, 6144
100, 37984, 6144
98, 37984, 6144
96, 37984, 6144
95, 37984, 6144
94, 37984, 6144
91, 37984, 6144
90, 37984, 6144
89, 37984, 6144
87, 37984, 6144
86, 37984, 6144
85, 37984, 6144
84, 37984, 6144
83, 37984, 6144
82, 37984, 6144
80, 37984, 6144
77, 37984, 6144
76, 37984, 6144
75, 37984, 6144
74, 37984, 6144
73, 37984, 6144
72, 37984, 6144
71, 37984, 6144
70, 37984, 6144
69, 37984, 6144
68, 37984, 6144
67, 37984, 6144
66, 37984, 6144
64, 37984, 6144
63, 37984, 6144
62, 37984, 6144
60, 37984, 6144
59, 37984, 6144
58, 37984, 6144
55, 37984, 6144
52, 37984, 6144
51, 37984, 6144
50, 37984, 6144
48, 37984, 6144
46, 37984, 6144
45, 37984, 6144
44, 37984, 6144
43, 37984, 6144
42, 37984, 6144
40, 37984, 6144
39, 37984, 6144
38, 37984, 6144
36, 37984, 6144
30, 37984, 6144
29, 37984, 6144
28, 37984, 6144
27, 37984, 6144
26, 37984, 6144
919, 3584, 6144
919, 6144, 3072
919, 160, 6144
38072, 3584, 6144
38072, 6144, 3072
38072, 160, 6144
207, 37984, 6144
47629, 3584, 6144
47629, 6144, 3072
47629, 160, 6144
260, 37984, 6144
259, 37984, 6144
1163, 160, 6144
258, 37984, 6144
2173, 3584, 6144
2173, 6144, 3072
2173, 160, 6144
2006, 160, 6144
257, 37984, 6144
2073, 3584, 6144
2073, 6144, 3072
2073, 160, 6144
1193, 160, 6144
2089, 160, 6144
2133, 160, 6144
2067, 3584, 6144
2067, 6144, 3072
2067, 160, 6144
1921, 160, 6144
2104, 3584, 6144
2104, 6144, 3072
2104, 160, 6144
2930, 3584, 6144
2930, 6144, 3072
2930, 160, 6144
2029, 160, 6144
1114, 160, 6144
2013, 160, 6144
2141, 3584, 6144
2141, 6144, 3072
2141, 160, 6144
3068, 3584, 6144
3068, 6144, 3072
3068, 160, 6144
2897, 3584, 6144
2897, 6144, 3072
2897, 160, 6144
2962, 3584, 6144
2962, 6144, 3072
2962, 160, 6144
1935, 160, 6144
3021, 3584, 6144
3021, 6144, 3072
3021, 160, 6144
1201, 160, 6144
2911, 3584, 6144
2911, 6144, 3072
2911, 160, 6144
2043, 160, 6144
1972, 160, 6144
1932, 160, 6144
2146, 3584, 6144
2146, 6144, 3072
2146, 160, 6144
2187, 3584, 6144
2187, 6144, 3072
2187, 160, 6144
2955, 160, 6144
1242, 160, 6144
3162, 3584, 6144
3162, 6144, 3072
3162, 160, 6144
2092, 3584, 6144
2092, 6144, 3072
2092, 160, 6144
2053, 3584, 6144
2053, 6144, 3072
2053, 160, 6144
2978, 3584, 6144
2978, 6144, 3072
2978, 160, 6144
1992, 160, 6144
2086, 3584, 6144
2086, 6144, 3072
2086, 160, 6144
2025, 160, 6144
3795, 3584, 6144
3795, 6144, 3072
3795, 160, 6144
2091, 3584, 6144
2091, 6144, 3072
2091, 160, 6144
2041, 160, 6144
1983, 160, 6144
3864, 3584, 6144
3864, 6144, 3072
3864, 160, 6144
2066, 3584, 6144
2066, 6144, 3072
2066, 160, 6144
2117, 3584, 6144
2117, 6144, 3072
2117, 160, 6144
1989, 160, 6144
2016, 160, 6144
1220, 160, 6144
1979, 160, 6144
3026, 3584, 6144
3026, 6144, 3072
3026, 160, 6144
3711, 3584, 6144
3711, 6144, 3072
3711, 160, 6144
1224, 160, 6144
1059, 160, 6144
1204, 160, 6144
2121, 3584, 6144
2121, 6144, 3072
2121, 160, 6144
1094, 160, 6144
2112, 3584, 6144
2112, 6144, 3072
2112, 160, 6144
1136, 160, 6144
1206, 160, 6144
2083, 160, 6144
1233, 160, 6144
1115, 160, 6144
1165, 160, 6144
1912, 160, 6144
2125, 3584, 6144
2125, 6144, 3072
2125, 160, 6144
1071, 160, 6144
1254, 160, 6144
1964, 160, 6144
3788, 3584, 6144
3788, 6144, 3072
3788, 160, 6144
2920, 3584, 6144
2920, 6144, 3072
2920, 160, 6144
1997, 160, 6144
1953, 160, 6144
2012, 160, 6144
2098, 3584, 6144
2098, 6144, 3072
2098, 160, 6144
1999, 160, 6144
3958, 3584, 6144
3958, 6144, 3072
3958, 160, 6144
2152, 3584, 6144
2152, 6144, 3072
2152, 160, 6144
1096, 160, 6144
2132, 3584, 6144
2132, 6144, 3072
2132, 160, 6144
1120, 160, 6144
2081, 3584, 6144
2081, 6144, 3072
2081, 160, 6144
2094, 3584, 6144
2094, 6144, 3072
2094, 160, 6144
2120, 3584, 6144
2120, 6144, 3072
2120, 160, 6144
2109, 160, 6144
2119, 3584, 6144
2119, 6144, 3072
2119, 160, 6144
2059, 3584, 6144
2059, 6144, 3072
2059, 160, 6144
1092, 160, 6144
2030, 160, 6144
2007, 160, 6144
2076, 160, 6144
1943, 160, 6144
2009, 160, 6144
1253, 160, 6144
2037, 160, 6144
2950, 3584, 6144
2950, 6144, 3072
2950, 160, 6144
3760, 3584, 6144
3760, 6144, 3072
3760, 160, 6144
1995, 160, 6144
2056, 3584, 6144
2056, 6144, 3072
2056, 160, 6144
1920, 160, 6144
1236, 160, 6144
3830, 3584, 6144
3830, 6144, 3072
3830, 160, 6144
3025, 3584, 6144
3025, 6144, 3072
3025, 160, 6144
1223, 160, 6144
1170, 160, 6144
2071, 3584, 6144
2071, 6144, 3072
2071, 160, 6144
1099, 160, 6144
2004, 160, 6144
1144, 160, 6144
1098, 160, 6144
1062, 160, 6144
241, 37984, 6144
231, 37984, 6144
229, 37984, 6144
226, 37984, 6144
223, 37984, 6144
221, 37984, 6144
219, 37984, 6144
215, 37984, 6144
208, 37984, 6144
204, 37984, 6144
201, 37984, 6144
191, 37984, 6144
181, 37984, 6144
178, 37984, 6144
174, 37984, 6144
171, 37984, 6144
168, 37984, 6144
164, 37984, 6144
158, 37984, 6144
156, 37984, 6144
136, 37984, 6144
134, 37984, 6144
132, 37984, 6144
122, 37984, 6144
105, 37984, 6144
103, 37984, 6144
99, 37984, 6144
93, 37984, 6144
92, 37984, 6144
88, 37984, 6144
81, 37984, 6144
79, 37984, 6144
78, 37984, 6144
65, 37984, 6144
61, 37984, 6144
57, 37984, 6144
54, 37984, 6144
47, 37984, 6144
41, 37984, 6144
37, 37984, 6144
35, 37984, 6144
34, 37984, 6144
33, 37984, 6144
32, 37984, 6144
25, 37984, 6144
36370, 3584, 6144
36370, 6144, 3072
36370, 160, 6144
1830, 160, 6144
51245, 3584, 6144
51245, 6144, 3072
51245, 160, 6144
264, 37984, 6144
263, 37984, 6144
262, 37984, 6144
1238, 160, 6144
261, 37984, 6144
1244, 160, 6144
1970, 160, 6144
1093, 160, 6144
2887, 3584, 6144
2887, 6144, 3072
2887, 160, 6144
1993, 160, 6144
2860, 3584, 6144
2860, 6144, 3072
2860, 160, 6144
2960, 3584, 6144
2960, 6144, 3072
2960, 160, 6144
1067, 160, 6144
2128, 160, 6144
2981, 3584, 6144
2981, 6144, 3072
2981, 160, 6144
2964, 3584, 6144
2964, 6144, 3072
2964, 160, 6144
1978, 160, 6144
2093, 3584, 6144
2093, 6144, 3072
2093, 160, 6144
1217, 160, 6144
2175, 3584, 6144
2175, 6144, 3072
2175, 160, 6144
2991, 3584, 6144
2991, 6144, 3072
2991, 160, 6144
2033, 160, 6144
2142, 3584, 6144
2142, 6144, 3072
2142, 160, 6144
2980, 3584, 6144
2980, 6144, 3072
2980, 160, 6144
2050, 3584, 6144
2050, 6144, 3072
2050, 160, 6144
2968, 3584, 6144
2968, 6144, 3072
2968, 160, 6144
2118, 3584, 6144
2118, 6144, 3072
2118, 160, 6144
1980, 160, 6144
3016, 3584, 6144
3016, 6144, 3072
3016, 160, 6144
3855, 3584, 6144
3855, 6144, 3072
3855, 160, 6144
1988, 160, 6144
3060, 3584, 6144
3060, 6144, 3072
3060, 160, 6144
3077, 3584, 6144
3077, 6144, 3072
3077, 160, 6144
1226, 160, 6144
2879, 3584, 6144
2879, 6144, 3072
2879, 160, 6144
1216, 160, 6144
1077, 160, 6144
2884, 3584, 6144
2884, 6144, 3072
2884, 160, 6144
2861, 3584, 6144
2861, 6144, 3072
2861, 160, 6144
1248, 160, 6144
3052, 3584, 6144
3052, 6144, 3072
3052, 160, 6144
1237, 160, 6144
2051, 3584, 6144
2051, 6144, 3072
2051, 160, 6144
1239, 160, 6144
1063, 160, 6144
1259, 160, 6144
3866, 3584, 6144
3866, 6144, 3072
3866, 160, 6144
1257, 160, 6144
2948, 3584, 6144
2948, 6144, 3072
2948, 160, 6144
1260, 160, 6144
3088, 3584, 6144
3088, 6144, 3072
3088, 160, 6144
2198, 3584, 6144
2198, 6144, 3072
2198, 160, 6144
2986, 3584, 6144
2986, 6144, 3072
2986, 160, 6144
2032, 160, 6144
1252, 160, 6144
3891, 3584, 6144
3891, 6144, 3072
3891, 160, 6144
3000, 3584, 6144
3000, 6144, 3072
3000, 160, 6144
2877, 3584, 6144
2877, 6144, 3072
2877, 160, 6144
1256, 160, 6144
2002, 160, 6144
2116, 3584, 6144
2116, 6144, 3072
2116, 160, 6144
1106, 160, 6144
1080, 160, 6144
2940, 3584, 6144
2940, 6144, 3072
2940, 160, 6144
1066, 160, 6144
222, 37984, 6144
200, 37984, 6144
196, 37984, 6144
176, 37984, 6144
157, 37984, 6144
143, 37984, 6144
117, 37984, 6144
97, 37984, 6144
56, 37984, 6144
31, 37984, 6144
4372, 3584, 6144
4372, 6144, 3072
4372, 160, 6144
29883, 3584, 6144
29883, 6144, 3072
29883, 160, 6144
4153, 3584, 6144
4153, 6144, 3072
4153, 160, 6144
7888, 3584, 6144
7888, 6144, 3072
7888, 160, 6144
4206, 3584, 6144
4206, 6144, 3072
4206, 160, 6144
4086, 3584, 6144
4086, 6144, 3072
4086, 160, 6144
4290, 3584, 6144
4290, 6144, 3072
4290, 160, 6144
3816, 3584, 6144
3816, 6144, 3072
3816, 160, 6144
4141, 3584, 6144
4141, 6144, 3072
4141, 160, 6144
3923, 3584, 6144
3923, 6144, 3072
3923, 160, 6144
3887, 3584, 6144
3887, 6144, 3072
3887, 160, 6144
3944, 3584, 6144
3944, 6144, 3072
3944, 160, 6144
8009, 3584, 6144
8009, 6144, 3072
8009, 160, 6144
3829, 3584, 6144
3829, 6144, 3072
3829, 160, 6144
4242, 3584, 6144
4242, 6144, 3072
4242, 160, 6144
4155, 3584, 6144
4155, 6144, 3072
4155, 160, 6144
3753, 3584, 6144
3753, 6144, 3072
3753, 160, 6144
4356, 3584, 6144
4356, 6144, 3072
4356, 160, 6144
8675, 3584, 6144
8675, 6144, 3072
8675, 160, 6144
4026, 3584, 6144
4026, 6144, 3072
4026, 160, 6144
3845, 3584, 6144
3845, 6144, 3072
3845, 160, 6144
4271, 3584, 6144
4271, 6144, 3072
4271, 160, 6144
3979, 3584, 6144
3979, 6144, 3072
3979, 160, 6144
4305, 3584, 6144
4305, 6144, 3072
4305, 160, 6144
4103, 3584, 6144
4103, 6144, 3072
4103, 160, 6144
4258, 3584, 6144
4258, 6144, 3072
4258, 160, 6144
8270, 3584, 6144
8270, 6144, 3072
8270, 160, 6144
4064, 3584, 6144
4064, 6144, 3072
4064, 160, 6144
4417, 3584, 6144
4417, 6144, 3072
4417, 160, 6144
4084, 3584, 6144
4084, 6144, 3072
4084, 160, 6144
4139, 3584, 6144
4139, 6144, 3072
4139, 160, 6144
4439, 3584, 6144
4439, 6144, 3072
4439, 160, 6144
3793, 3584, 6144
3793, 6144, 3072
3793, 160, 6144
3807, 3584, 6144
3807, 6144, 3072
3807, 160, 6144
4254, 3584, 6144
4254, 6144, 3072
4254, 160, 6144
3826, 3584, 6144
3826, 6144, 3072
3826, 160, 6144
4451, 3584, 6144
4451, 6144, 3072
4451, 160, 6144
3980, 3584, 6144
3980, 6144, 3072
3980, 160, 6144
3911, 3584, 6144
3911, 6144, 3072
3911, 160, 6144
4445, 3584, 6144
4445, 6144, 3072
4445, 160, 6144
4360, 3584, 6144
4360, 6144, 3072
4360, 160, 6144
4433, 3584, 6144
4433, 6144, 3072
4433, 160, 6144
8069, 3584, 6144
8069, 6144, 3072
8069, 160, 6144
4444, 3584, 6144
4444, 6144, 3072
4444, 160, 6144
8168, 3584, 6144
8168, 6144, 3072
8168, 160, 6144
4249, 3584, 6144
4249, 6144, 3072
4249, 160, 6144
4031, 3584, 6144
4031, 6144, 3072
4031, 160, 6144
4186, 3584, 6144
4186, 6144, 3072
4186, 160, 6144
4247, 3584, 6144
4247, 6144, 3072
4247, 160, 6144
4137, 3584, 6144
4137, 6144, 3072
4137, 160, 6144
3842, 3584, 6144
3842, 6144, 3072
3842, 160, 6144
4122, 3584, 6144
4122, 6144, 3072
4122, 160, 6144
4328, 3584, 6144
4328, 6144, 3072
4328, 160, 6144
4032, 3584, 6144
4032, 6144, 3072
4032, 160, 6144
3974, 3584, 6144
3974, 6144, 3072
3974, 160, 6144
4431, 3584, 6144
4431, 6144, 3072
4431, 160, 6144
4197, 3584, 6144
4197, 6144, 3072
4197, 160, 6144
4142, 3584, 6144
4142, 6144, 3072
4142, 160, 6144
3909, 3584, 6144
3909, 6144, 3072
3909, 160, 6144
4414, 3584, 6144
4414, 6144, 3072
4414, 160, 6144
4143, 3584, 6144
4143, 6144, 3072
4143, 160, 6144
4435, 3584, 6144
4435, 6144, 3072
4435, 160, 6144
3867, 3584, 6144
3867, 6144, 3072
3867, 160, 6144
4252, 3584, 6144
4252, 6144, 3072
4252, 160, 6144
4040, 3584, 6144
4040, 6144, 3072
4040, 160, 6144
4144, 3584, 6144
4144, 6144, 3072
4144, 160, 6144
4090, 3584, 6144
4090, 6144, 3072
4090, 160, 6144
4352, 3584, 6144
4352, 6144, 3072
4352, 160, 6144
4214, 3584, 6144
4214, 6144, 3072
4214, 160, 6144
4085, 3584, 6144
4085, 6144, 3072
4085, 160, 6144
4149, 3584, 6144
4149, 6144, 3072
4149, 160, 6144
4127, 3584, 6144
4127, 6144, 3072
4127, 160, 6144
4361, 3584, 6144
4361, 6144, 3072
4361, 160, 6144
8077, 3584, 6144
8077, 6144, 3072
8077, 160, 6144
4192, 3584, 6144
4192, 6144, 3072
4192, 160, 6144
4235, 3584, 6144
4235, 6144, 3072
4235, 160, 6144
3770, 3584, 6144
3770, 6144, 3072
3770, 160, 6144
4069, 3584, 6144
4069, 6144, 3072
4069, 160, 6144
4024, 3584, 6144
4024, 6144, 3072
4024, 160, 6144
4368, 3584, 6144
4368, 6144, 3072
4368, 160, 6144
8384, 3584, 6144
8384, 6144, 3072
8384, 160, 6144
3885, 160, 6144
3663, 3584, 6144
3663, 6144, 3072
3663, 160, 6144
3992, 3584, 6144
3992, 6144, 3072
3992, 160, 6144
4093, 3584, 6144
4093, 6144, 3072
4093, 160, 6144
4307, 3584, 6144
4307, 6144, 3072
4307, 160, 6144
4301, 3584, 6144
4301, 6144, 3072
4301, 160, 6144
7922, 3584, 6144
7922, 6144, 3072
7922, 160, 6144
3851, 3584, 6144
3851, 6144, 3072
3851, 160, 6144
3776, 3584, 6144
3776, 6144, 3072
3776, 160, 6144
3719, 3584, 6144
3719, 6144, 3072
3719, 160, 6144
4453, 3584, 6144
4453, 6144, 3072
4453, 160, 6144
3961, 3584, 6144
3961, 6144, 3072
3961, 160, 6144
3972, 3584, 6144
3972, 6144, 3072
3972, 160, 6144
3811, 3584, 6144
3811, 6144, 3072
3811, 160, 6144
3736, 3584, 6144
3736, 6144, 3072
3736, 160, 6144
7835, 3584, 6144
7835, 6144, 3072
7835, 160, 6144
8034, 3584, 6144
8034, 6144, 3072
8034, 160, 6144
3824, 3584, 6144
3824, 6144, 3072
3824, 160, 6144
4055, 3584, 6144
4055, 6144, 3072
4055, 160, 6144
4148, 3584, 6144
4148, 6144, 3072
4148, 160, 6144
4073, 3584, 6144
4073, 6144, 3072
4073, 160, 6144
3935, 3584, 6144
3935, 6144, 3072
3935, 160, 6144
3988, 3584, 6144
3988, 6144, 3072
3988, 160, 6144
11686, 3584, 6144
11686, 6144, 3072
11686, 160, 6144
3715, 3584, 6144
3715, 6144, 3072
3715, 160, 6144
4097, 3584, 6144
4097, 6144, 3072
4097, 160, 6144
3982, 3584, 6144
3982, 6144, 3072
3982, 160, 6144
3731, 3584, 6144
3731, 6144, 3072
3731, 160, 6144
53, 37984, 6144
4351, 3584, 6144
4351, 6144, 3072
4351, 160, 6144
19940, 3584, 6144
19940, 6144, 3072
19940, 160, 6144
3769, 3584, 6144
3769, 6144, 3072
3769, 160, 6144
4371, 3584, 6144
4371, 6144, 3072
4371, 160, 6144
4457, 3584, 6144
4457, 6144, 3072
4457, 160, 6144
4313, 3584, 6144
4313, 6144, 3072
4313, 160, 6144
4042, 3584, 6144
4042, 6144, 3072
4042, 160, 6144
3862, 3584, 6144
3862, 6144, 3072
3862, 160, 6144
4287, 3584, 6144
4287, 6144, 3072
4287, 160, 6144
3997, 3584, 6144
3997, 6144, 3072
3997, 160, 6144
4322, 3584, 6144
4322, 6144, 3072
4322, 160, 6144
4118, 3584, 6144
4118, 6144, 3072
4118, 160, 6144
4274, 3584, 6144
4274, 6144, 3072
4274, 160, 6144
4150, 3584, 6144
4150, 6144, 3072
4150, 160, 6144
4217, 3584, 6144
4217, 6144, 3072
4217, 160, 6144
4079, 3584, 6144
4079, 6144, 3072
4079, 160, 6144
4432, 3584, 6144
4432, 6144, 3072
4432, 160, 6144
4099, 3584, 6144
4099, 6144, 3072
4099, 160, 6144
4154, 3584, 6144
4154, 6144, 3072
4154, 160, 6144
4455, 3584, 6144
4455, 6144, 3072
4455, 160, 6144
3809, 3584, 6144
3809, 6144, 3072
3809, 160, 6144
4270, 3584, 6144
4270, 6144, 3072
4270, 160, 6144
3843, 3584, 6144
3843, 6144, 3072
3843, 160, 6144
4467, 3584, 6144
4467, 6144, 3072
4467, 160, 6144
3996, 3584, 6144
3996, 6144, 3072
3996, 160, 6144
3928, 3584, 6144
3928, 6144, 3072
3928, 160, 6144
4462, 3584, 6144
4462, 6144, 3072
4462, 160, 6144
4376, 3584, 6144
4376, 6144, 3072
4376, 160, 6144
8631, 3584, 6144
8631, 6144, 3072
8631, 160, 6144
8285, 3584, 6144
8285, 6144, 3072
8285, 160, 6144
4025, 3584, 6144
4025, 6144, 3072
4025, 160, 6144
4238, 3584, 6144
4238, 6144, 3072
4238, 160, 6144
4265, 3584, 6144
4265, 6144, 3072
4265, 160, 6144
4046, 3584, 6144
4046, 6144, 3072
4046, 160, 6144
4201, 3584, 6144
4201, 6144, 3072
4201, 160, 6144
4262, 3584, 6144
4262, 6144, 3072
4262, 160, 6144
3858, 3584, 6144
3858, 6144, 3072
3858, 160, 6144
4138, 3584, 6144
4138, 6144, 3072
4138, 160, 6144
4344, 3584, 6144
4344, 6144, 3072
4344, 160, 6144
3938, 3584, 6144
3938, 6144, 3072
3938, 160, 6144
7959, 3584, 6144
7959, 6144, 3072
7959, 160, 6144
4446, 3584, 6144
4446, 6144, 3072
4446, 160, 6144
4210, 3584, 6144
4210, 6144, 3072
4210, 160, 6144
4156, 3584, 6144
4156, 6144, 3072
4156, 160, 6144
8028, 3584, 6144
8028, 6144, 3072
8028, 160, 6144
4083, 3584, 6144
4083, 6144, 3072
4083, 160, 6144
8083, 3584, 6144
8083, 6144, 3072
8083, 160, 6144
4190, 3584, 6144
4190, 6144, 3072
4190, 160, 6144
4033, 3584, 6144
4033, 6144, 3072
4033, 160, 6144
7935, 3584, 6144
7935, 6144, 3072
7935, 160, 6144
3777, 3584, 6144
3777, 6144, 3072
3777, 160, 6144
8196, 3584, 6144
8196, 6144, 3072
8196, 160, 6144
4204, 3584, 6144
4204, 6144, 3072
4204, 160, 6144
4266, 3584, 6144
4266, 6144, 3072
4266, 160, 6144
3894, 3584, 6144
3894, 6144, 3072
3894, 160, 6144
3815, 3584, 6144
3815, 6144, 3072
3815, 160, 6144
3985, 3584, 6144
3985, 6144, 3072
3985, 160, 6144
4063, 3584, 6144
4063, 6144, 3072
4063, 160, 6144
4420, 3584, 6144
4420, 6144, 3072
4420, 160, 6144
3929, 3584, 6144
3929, 6144, 3072
3929, 160, 6144
